순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,이병헌,두산,2.89,77,6,1,1,22,0.857,65 1/3,61,3,34,3,57,25,21,1.45
2,노경은,SSG,2.96,76,8,5,0,37,0.615,82,70,10,32,4,67,30,27,1.24
3,김민수,KT,5.2,74,5,3,0,12,0.625,79 2/3,83,8,33,1,73,55,46,1.46
3,조병현,SSG,3.68,74,4,6,10,12,0.4,71,52,8,31,2,93,34,29,1.17
5,장현식,KIA,3.89,73,5,4,0,16,0.556,74,73,8,33,2,75,39,32,1.43
5,김상수,롯데,4.09,73,8,4,2,17,0.667,72 2/3,69,5,26,4,56,39,33,1.31
7,김진성,LG,3.97,71,3,3,1,27,0.5,70 1/3,62,11,23,7,61,34,31,1.21
7,곽도규,KIA,3.56,71,4,2,2,16,0.667,55 2/3,43,4,34,4,64,24,22,1.38
9,김민,KT,4.36,70,8,4,0,21,0.667,76 1/3,83,5,27,2,76,38,37,1.44
10,한두솔,SSG,4.99,68,2,1,0,3,0.667,57 2/3,61,3,31,3,67,39,32,1.6
10,한승혁,한화,5.19,68,5,5,0,19,0.5,60 2/3,61,2,36,6,62,39,35,1.6
12,김재열,NC,2.03,67,1,4,2,12,0.2,66 2/3,54,3,26,0,66,16,15,1.2
13,홍건희,두산,2.73,65,4,3,9,11,0.571,59 1/3,55,5,33,5,45,22,18,1.48
13,전상현,KIA,4.02,65,10,5,7,18,0.667,65,53,5,20,5,54,31,29,1.12
13,김재윤,삼성,4.09,65,4,8,11,25,0.333,66,58,13,25,1,51,37,30,1.26
16,박영현,KT,3.62,64,10,2,25,0,0.833,74 2/3,60,12,22,0,86,31,30,1.1
16,주현상,한화,2.4,64,8,4,23,2,0.667,71 1/3,48,9,8,1,64,19,19,0.79
18,이로운,SSG,5.95,63,1,3,1,9,0.25,56,67,4,43,3,41,43,37,1.96
18,임정호,NC,4.58,63,1,6,2,8,0.143,53,53,3,23,3,42,31,27,1.43
18,구승민,롯데,4.63,63,5,3,0,12,0.625,56 1/3,65,5,34,6,61,35,29,1.76
18,박상원,한화,4.71,63,3,3,2,16,0.5,65,55,2,21,7,64,36,34,1.17
18,이민우,한화,3.83,63,2,1,1,10,0.667,54,55,5,23,1,48,25,23,1.44
23,문승원,SSG,4.5,62,6,1,20,6,0.857,60,67,10,24,1,53,33,30,1.52
24,유영찬,LG,3.02,61,7,5,26,1,0.583,62 2/3,61,2,30,3,74,24,21,1.45
25,김택연,두산,2.08,60,3,2,19,4,0.6,65,51,2,31,4,78,17,15,1.26
25,임창민,삼성,3.98,60,2,1,1,28,0.667,54 1/3,60,4,30,2,50,26,24,1.66
27,이승현,삼성,4.4,59,6,1,1,9,0.857,59 1/3,65,6,23,3,51,30,29,1.48
28,이영하,두산,4.12,58,5,4,2,4,0.556,63 1/3,62,4,36,2,57,34,29,1.55
28,오승환,삼성,4.91,58,3,9,27,2,0.25,55,75,9,18,3,42,36,30,1.69
30,이용찬,NC,6.13,57,3,9,16,2,0.25,54 1/3,82,6,21,2,49,48,37,1.9
30,김규연,한화,7.18,57,1,0,0,4,1.000,57 2/3,66,6,28,4,40,50,46,1.63
32,한현희,롯데,5.3,56,4,3,0,8,0.571,71 1/3,86,6,24,9,64,43,42,1.54
33,최지강,두산,3.24,55,3,1,1,15,0.750,50,48,6,24,6,45,19,18,1.44
33,김원중,롯데,3.61,55,3,6,25,0,0.333,62 1/3,58,4,31,1,68,27,25,1.43
33,김태훈,삼성,4.03,55,3,2,0,23,0.600,51 1/3,49,6,19,4,36,24,23,1.32
36,이준영,KIA,4.09,54,3,0,0,9,1.000,33,36,5,16,2,30,21,15,1.58
36,최지민,KIA,5.36,54,2,3,3,11,0.400,43 2/3,42,2,40,4,33,28,26,1.88
36,진해수,롯데,6.18,54,2,1,0,5,0.667,27 2/3,36,5,10,3,22,21,19,1.66
36,주승우,키움,4.26,54,4,6,14,5,0.400,50 2/3,49,3,17,5,43,24,24,1.3
40,김강률,두산,3.0,53,2,2,1,12,0.500,42,41,1,21,2,33,16,14,1.48
41,김유영,LG,3.86,52,1,2,1,6,0.333,46 2/3,50,2,16,4,42,27,20,1.41
42,박치국,두산,6.13,51,1,3,1,3,0.250,47,57,8,18,10,35,32,32,1.6
42,정해영,KIA,2.59,51,2,3,31,1,0.400,48 2/3,46,8,15,1,49,14,14,1.25
44,한재승,NC,4.06,50,1,2,0,6,0.333,44 1/3,36,2,27,3,43,21,20,1.42
45,서진용,SSG,5.76,49,0,1,0,6,0.000,45 1/3,49,5,25,0,36,34,29,1.63
45,류진욱,NC,6.02,49,2,1,0,10,0.667,40 1/3,51,4,19,2,35,30,27,1.74
47,주권,KT,6.79,46,1,1,0,0,0.500,57,76,7,10,3,30,48,43,1.51
47,김성민,키움,4.34,46,3,4,0,14,0.429,45 2/3,45,5,17,1,34,24,22,1.36
49,이지강,LG,4.09,45,2,3,1,1,0.400,50 2/3,55,3,26,2,38,31,23,1.6
50,우규민,KT,2.51,44,3,1,1,4,0.750,43,47,1,2,2,39,14,12,1.14
50,조상우,키움,3.18,44,0,1,6,9,0.000,39 2/3,40,2,20,0,36,17,14,1.51
52,이우찬,LG,8.82,42,3,2,0,6,0.600,33 2/3,42,2,30,1,31,35,33,2.14
52,김영규,NC,3.15,42,4,2,1,14,0.667,45 2/3,40,3,14,1,48,19,16,1.18
52,문성현,키움,6.57,42,1,2,3,2,0.333,38 1/3,54,3,25,2,31,28,28,2.06
55,손동현,KT,5.56,41,1,2,1,4,0.333,45 1/3,49,5,20,1,26,31,28,1.52
56,김선기,키움,5.18,40,6,4,0,0,0.600,74 2/3,86,12,29,6,43,46,43,1.54
57,김범수,한화,5.29,39,0,0,0,4,-,34,33,11,20,5,38,20,20,1.56
58,박진,롯데,4.38,38,2,4,1,0,0.333,49 1/3,60,4,11,2,35,28,24,1.44
59,김시훈,NC,4.61,37,3,4,0,5,0.429,105 1/3,109,7,58,3,72,60,54,1.59
59,김대유,KIA,8.28,37,0,0,0,8,-,25,35,4,12,2,26,23,23,1.88
61,김대현,LG,5.56,36,2,0,1,1,1.000,34,33,6,18,2,29,21,21,1.5
61,이준호,NC,7.91,36,3,5,0,2,0.375,46 2/3,68,7,26,3,41,41,41,2.01
